Data,qtdCasos
2020-04-26,1
2020-04-27,6
2020-04-28,29
2020-04-29,14
2020-04-30,27
2020-05-04,13
2020-05-05,51
2020-05-06,32
2020-05-07,46
2020-05-08,40
2020-05-11,53
2020-05-12,28
2020-05-13,38
2020-05-14,42
2020-05-15,39
2020-05-18,48
2020-05-19,39
2020-05-20,30
2020-05-21,28
2020-05-22,59
2020-05-23,2
2020-05-24,2
2020-05-25,46
2020-05-26,39
2020-05-27,38
2020-05-28,22
2020-05-29,9
2020-05-30,1
2020-05-31,2
2020-06-01,39
2020-06-02,25
2020-06-03,31
2020-06-04,18
2020-06-05,27
2020-06-07,1
2020-06-08,33
2020-06-09,15
2020-06-10,17
2020-06-11,8
2020-06-12,16
2020-06-13,2
2020-06-15,24
2020-06-16,24
2020-06-17,13
2020-06-18,31
2020-06-19,5
2020-06-20,1
2020-06-22,24
2020-06-23,11
2020-06-24,5
2020-06-25,21
2020-06-26,21
2020-06-27,1
2020-06-29,14
2020-06-30,5
2020-07-01,21
2020-07-02,12
2020-07-03,9
2020-07-05,1
2020-07-06,19
2020-07-07,3
2020-07-08,20
2020-07-09,15
2020-07-10,20
2020-07-11,1
2020-07-12,1
2020-07-13,24
2020-07-14,15
2020-07-15,14
2020-07-16,2
2020-07-17,17
2020-07-20,42
2020-07-21,13
2020-07-22,7
2020-07-23,10
2020-07-24,15
2020-07-25,1
2020-07-26,1
2020-07-27,25
2020-07-28,20
2020-07-29,22
2020-07-30,32
2020-07-31,15
2020-08-01,1
2020-08-03,26
2020-08-04,15
2020-08-05,27
2020-08-06,21
2020-08-07,10
2020-08-08,1
2020-08-09,1
2020-08-10,26
2020-08-11,11
2020-08-12,31
2020-08-13,21
2020-08-14,20
2020-08-17,25
2020-08-18,4
2020-08-19,33
2020-08-20,32
2020-08-21,12
2020-08-22,1
2020-08-24,20
2020-08-25,20
2020-08-26,20
2020-08-27,24
2020-08-28,13
2020-08-29,1
2020-08-31,26
2020-09-01,10
2020-09-02,29
2020-09-03,24
2020-09-04,12
2020-09-05,1
2020-09-07,1
2020-09-08,19
2020-09-09,14
2020-09-10,24
2020-09-11,12
2020-09-14,20
2020-09-15,20
2020-09-16,30
2020-09-17,14
2020-09-18,12
2020-09-20,2
2020-09-21,28
2020-09-22,19
2020-09-23,15
2020-09-24,18
2020-09-25,7
2020-09-26,2
2020-09-28,20
2020-09-29,8
2020-09-30,18
2020-10-01,13
2020-10-02,7
2020-10-03,1
2020-10-05,16
2020-10-06,1
2020-10-07,15
2020-10-08,12
2020-10-09,2
2020-10-10,2
2020-10-13,4
2020-10-14,11
2020-10-15,6
2020-10-16,4
2020-10-19,9
2020-10-20,11
2020-10-21,12
2020-10-22,8
2020-10-23,3
2020-10-24,1
2020-10-25,1
2020-10-26,17
2020-10-27,5
2020-10-28,1
2020-10-29,15
2020-10-30,3
2020-10-31,3
2020-11-01,2
2020-11-03,5
2020-11-04,18
2020-11-05,10
2020-11-06,2
2020-11-07,3
2020-11-08,1
2020-11-09,9
2020-11-10,12
2020-11-11,25
2020-11-12,29
2020-11-14,9
2020-11-15,1
2020-11-16,29
2020-11-17,14
2020-11-18,10
2020-11-19,15
2020-11-20,1
2020-11-22,6
2020-11-23,30
2020-11-24,10
2020-11-25,40
2020-11-26,21
2020-11-27,12
2020-11-28,1
2020-11-30,32
2020-12-01,5
2020-12-02,23
2020-12-03,5
2020-12-04,1
2020-12-05,2
2020-12-07,2
2020-12-09,3
2020-12-10,20
2020-12-11,4
2020-12-13,1
2020-12-14,24
2020-12-15,13
2020-12-16,37
2020-12-17,5
2020-12-18,1
2020-12-20,1
2020-12-21,15
2020-12-22,7
2020-12-23,20
2020-12-25,3
2020-12-26,2
2020-12-27,2
2020-12-28,18
2020-12-29,23
2020-12-30,17
2020-12-31,1
2021-01-02,1
2021-01-03,1
2021-01-04,30
2021-01-05,6
2021-01-06,2
2021-01-07,12
2021-01-09,2
2021-01-10,2
2021-01-11,12
2021-01-12,1
2021-01-13,4
2021-01-14,2
2021-01-15,4
2021-01-16,2
2021-01-18,36
2021-01-19,5
2021-01-20,16
2021-01-21,13
2021-01-22,2
2021-01-25,11
2021-01-26,1
2021-01-27,17
2021-01-28,8
2021-01-29,2
2021-01-31,1
2021-02-01,15
2021-02-03,17
2021-02-04,8
2021-02-05,1
2021-02-06,1
2021-02-08,32
2021-02-09,1
2021-02-10,9
2021-02-11,2
2021-02-12,1
2021-02-14,1
2021-02-15,14
2021-02-16,4
2021-02-17,26
2021-02-18,1
2021-02-19,1
2021-02-21,3
2021-02-22,34
2021-02-23,2
2021-02-24,18
2021-02-25,4
2021-02-26,7
2021-02-28,2
2021-03-01,8
2021-03-02,3
2021-03-03,20
2021-03-04,3
2021-03-05,3
2021-03-07,1
