Data,qtdCasos
2020-04-26,1
2020-04-27,11
2020-04-28,30
2020-04-29,48
2020-04-30,46
2020-05-04,63
2020-05-05,104
2020-05-06,75
2020-05-07,127
2020-05-08,122
2020-05-09,1
2020-05-11,135
2020-05-12,112
2020-05-13,124
2020-05-14,129
2020-05-15,131
2020-05-18,146
2020-05-19,92
2020-05-20,142
2020-05-21,132
2020-05-22,178
2020-05-23,4
2020-05-24,6
2020-05-25,136
2020-05-26,94
2020-05-27,125
2020-05-28,79
2020-05-29,79
2020-05-30,5
2020-06-01,76
2020-06-02,63
2020-06-03,65
2020-06-04,47
2020-06-05,60
2020-06-06,3
2020-06-07,1
2020-06-08,52
2020-06-09,45
2020-06-10,49
2020-06-12,52
2020-06-13,5
2020-06-14,2
2020-06-15,54
2020-06-16,32
2020-06-17,35
2020-06-18,40
2020-06-19,40
2020-06-20,7
2020-06-21,4
2020-06-22,33
2020-06-23,10
2020-06-24,4
2020-06-25,71
2020-06-26,36
2020-06-27,4
2020-06-28,1
2020-06-29,22
2020-06-30,24
2020-07-01,30
2020-07-02,29
2020-07-03,37
2020-07-04,1
2020-07-05,2
2020-07-06,35
2020-07-07,45
2020-07-08,28
2020-07-09,44
2020-07-10,37
2020-07-11,2
2020-07-12,2
2020-07-13,26
2020-07-14,41
2020-07-15,30
2020-07-16,12
2020-07-17,38
2020-07-18,4
2020-07-19,1
2020-07-20,62
2020-07-21,48
2020-07-22,32
2020-07-23,68
2020-07-24,43
2020-07-25,4
2020-07-26,3
2020-07-27,66
2020-07-28,50
2020-07-29,63
2020-07-30,62
2020-07-31,47
2020-08-01,8
2020-08-02,5
2020-08-03,39
2020-08-04,56
2020-08-05,58
2020-08-06,74
2020-08-07,64
2020-08-08,4
2020-08-10,55
2020-08-11,66
2020-08-12,51
2020-08-13,77
2020-08-14,76
2020-08-15,1
2020-08-16,2
2020-08-17,47
2020-08-18,98
2020-08-19,51
2020-08-20,66
2020-08-21,46
2020-08-22,5
2020-08-23,4
2020-08-24,59
2020-08-25,78
2020-08-26,63
2020-08-27,79
2020-08-28,61
2020-08-29,3
2020-08-31,53
2020-09-01,71
2020-09-02,50
2020-09-03,67
2020-09-04,42
2020-09-05,3
2020-09-06,2
2020-09-07,2
2020-09-08,56
2020-09-09,55
2020-09-10,38
2020-09-11,67
2020-09-12,2
2020-09-13,4
2020-09-14,62
2020-09-15,61
2020-09-16,49
2020-09-17,57
2020-09-18,37
2020-09-19,1
2020-09-20,2
2020-09-21,29
2020-09-22,40
2020-09-23,48
2020-09-24,67
2020-09-25,27
2020-09-26,2
2020-09-27,4
2020-09-28,39
2020-09-29,47
2020-09-30,31
2020-10-01,26
2020-10-02,25
2020-10-05,45
2020-10-06,37
2020-10-07,38
2020-10-08,42
2020-10-09,15
2020-10-13,23
2020-10-14,23
2020-10-15,40
2020-10-16,40
2020-10-17,1
2020-10-18,1
2020-10-19,55
2020-10-20,44
2020-10-21,62
2020-10-22,64
2020-10-23,59
2020-10-24,1
2020-10-25,2
2020-10-26,80
2020-10-27,71
2020-10-28,10
2020-10-29,145
2020-10-30,68
2020-10-31,6
2020-11-01,7
2020-11-02,5
2020-11-03,144
2020-11-04,88
2020-11-05,121
2020-11-06,74
2020-11-07,9
2020-11-08,6
2020-11-09,176
2020-11-10,100
2020-11-11,116
2020-11-12,122
2020-11-13,125
2020-11-14,9
2020-11-16,218
2020-11-17,120
2020-11-18,126
2020-11-19,97
2020-11-20,91
2020-11-21,13
2020-11-22,7
2020-11-23,237
2020-11-24,117
2020-11-25,129
2020-11-26,143
2020-11-27,105
2020-11-28,3
2020-11-29,2
2020-11-30,182
2020-12-01,127
2020-12-02,149
2020-12-03,118
2020-12-04,77
2020-12-05,2
2020-12-06,5
2020-12-07,9
2020-12-08,3
2020-12-09,188
2020-12-10,121
2020-12-11,112
2020-12-12,1
2020-12-13,17
2020-12-14,143
2020-12-15,97
2020-12-16,96
2020-12-17,126
2020-12-18,80
2020-12-19,7
2020-12-20,12
2020-12-21,127
2020-12-22,89
2020-12-23,106
2020-12-24,16
2020-12-25,4
2020-12-26,1
2020-12-27,8
2020-12-28,165
2020-12-29,130
2020-12-30,96
2020-12-31,11
2021-01-01,5
2021-01-02,1
2021-01-03,12
2021-01-04,151
2021-01-05,93
2021-01-06,83
2021-01-07,76
2021-01-08,85
2021-01-09,10
2021-01-10,7
2021-01-11,123
2021-01-12,92
2021-01-13,76
2021-01-14,69
2021-01-15,52
2021-01-16,1
2021-01-17,2
2021-01-18,82
2021-01-19,97
2021-01-20,49
2021-01-21,61
2021-01-22,22
2021-01-23,14
2021-01-24,17
2021-01-25,72
2021-01-26,64
2021-01-27,66
2021-01-28,44
2021-01-29,55
2021-01-30,9
2021-01-31,11
2021-02-01,74
2021-02-02,52
2021-02-03,60
2021-02-04,78
2021-02-05,51
2021-02-06,4
2021-02-07,2
2021-02-08,74
2021-02-09,52
2021-02-10,51
2021-02-11,75
2021-02-12,42
2021-02-13,5
2021-02-14,3
2021-02-15,74
2021-02-16,71
2021-02-17,57
2021-02-18,45
2021-02-19,60
2021-02-20,11
2021-02-21,1
2021-02-22,77
2021-02-23,100
2021-02-24,98
2021-02-25,83
2021-02-26,65
2021-02-27,5
2021-02-28,16
2021-03-01,72
2021-03-02,114
2021-03-03,109
2021-03-04,107
2021-03-05,70
2021-03-06,10
2021-03-07,3
